Date,Time,Latitude,Longitude,Heading,Speed (kn),WindAngle,WindSpeed,WindTemperature
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,21:34,51.60793,4.109633,243,0.0,77,5,20
2023-08-10,10:21,0.0,0.0,,0.0,0,0,0
